family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
pt,none,2025-02-07,22684.45960208608,0.0,1402.6029035000015,24087.062505586084,272.73012395833376,0.0
pt,none,2025-02-08,18459.095229431045,0.0,13131.690948106943,31590.786177537986,3245.5029055555556,0.0
pt,none,2025-02-09,54385.42102578824,0.0,5656.321762356074,60041.742788144315,1366.470045486111,0.0
pt,none,2025-02-10,52005.14557823467,0.0,2516.0820823041586,54521.227660538825,640.8317659722205,0.0
pt,none,2025-02-11,52340.49353860222,0.0,4325.284334216666,56665.777872818886,1068.1266875000001,0.0
pt,none,2025-02-12,52399.74786788672,0.0,3070.5339617789905,55470.281829665706,677.3897090277771,0.0
pt,none,2025-02-13,48583.17257817925,0.0,6161.153132785077,54744.325710964324,1423.3615697916684,0.0
pt,none,2025-02-14,18206.466297714996,0.0,11237.210791231424,29443.67708894642,2641.413601388889,0.0
pt,none,2025-02-15,18375.350034768206,0.0,6533.893119298262,24909.24315406647,1518.1124381944437,0.0
pt,none,2025-02-16,52667.6305742969,0.0,3992.02806231267,56659.658636609565,977.6283437499998,0.0
pt,none,2025-02-17,52064.845330683645,0.0,4986.0001530708305,57050.84548375448,1175.857701388888,0.0
pt,none,2025-02-18,46525.79345541181,0.0,13475.588477763877,60001.38193317569,3560.164532638887,0.0
pt,none,2025-02-19,46707.113368729275,0.0,11046.20418515155,57753.31755388083,3009.297959374998,0.0
pt,none,2025-02-20,48123.96672794524,0.0,6017.670707196525,54141.63743514176,1429.8575701388884,0.0
pt,none,2025-02-21,17273.84041379063,0.0,11571.140081352427,28844.980495143056,2796.1724402777772,0.0
pt,none,2025-02-22,17514.664669321857,0.0,5949.754012041144,23464.418681363,1475.643894444444,0.0
pt,none,2025-02-23,47731.84869897379,0.0,6445.58505027796,54177.433749251744,1557.4968496527795,0.0
pt,none,2025-02-24,46011.88162277675,0.0,9134.555008732641,55146.436631509394,2568.3111121527786,0.0
pt,none,2025-02-25,47350.09556578218,0.0,4477.956278777602,51828.051844559785,1120.8349791666662,0.0
pt,none,2025-02-26,42938.095499975294,0.0,14950.571533147922,57888.667033123216,3842.6768725694455,0.0
pt,none,2025-02-27,43684.33518855859,0.0,10802.963989304157,54487.29917786275,2455.1953385416655,0.0
pt,none,2025-02-28,16735.43515647982,0.0,7903.909674365626,24639.344830845446,2079.514633680556,0.0
pt,none,2025-03-01,18303.566979124895,0.0,3091.1723840755208,21394.739363200417,668.969990972222,0.0
pt,none,2025-03-02,49619.67915857669,0.0,3889.33662299166,53509.01578156835,929.2498986111096,0.0
pt,none,2025-03-03,50967.92298682699,0.0,7924.51195952829,58892.43494635528,1842.6593934027755,0.0
pt,none,2025-03-04,45182.15657880099,0.0,11171.701680095313,56353.8582588963,3024.007280555557,0.0
pt,none,2025-03-05,47371.36140493321,0.0,3589.0687233704866,50960.4301283037,774.4578440972218,0.0
pt,none,2025-03-06,44063.19846767506,0.0,5321.524907363538,49384.72337503859,1354.7806899305551,0.0
pt,none,2025-03-07,17180.605773277966,0.0,2100.892045980383,19281.49781925835,520.0519559027776,0.0
