policy,date,J_plan,J_emerg,J,e_kWh
point,2025-05-30,13551.903001164159,10670.889725128793,24222.79272629295,2617.3436601910425
point,2025-05-31,13817.490568566593,11610.32100898883,25427.811577555425,2839.6420348096926
point,2025-06-01,34171.91698825965,71549.1267617228,105721.04374998245,18519.163509545142
point,2025-06-02,35146.2199546951,60918.094374300985,96064.31432899609,14898.083914955096
point,2025-06-03,36326.12018293493,47200.45258266713,83526.57276560206,11519.96878180191
point,2025-06-04,36910.148231303945,44713.572217709334,81623.72044901329,11916.77825437872
point,2025-06-05,37953.95054750373,45478.155164867625,83432.10571237135,11890.157853357665
point,2025-06-06,13891.026386795054,56427.19729777534,70318.22368457039,14086.686352267228
point,2025-06-07,14476.323865278388,43766.872490629845,58243.196355908236,10600.549276059279
point,2025-06-08,46328.730913955886,5713.152539989596,52041.883453945484,1456.572163938626
point,2025-06-09,44790.28909764634,15994.34077475522,60784.62987240156,3959.209001234944
point,2025-06-10,45025.794253439366,15612.379947311332,60638.1742007507,4048.833945224084
point,2025-06-11,45367.01337288879,30235.340726883787,75602.35409977258,6802.952144080165
point,2025-06-12,46469.55124184504,12567.204706040557,59036.7559478856,3078.792579068447
point,2025-06-13,18938.01359844315,9685.984310855965,28623.997909299116,2363.0547218841552
point,2025-06-14,19066.55523130619,8165.868341521345,27232.423572827534,2596.0860506816634
point,2025-06-15,46804.92972308109,8888.682910679723,55693.612633760815,2119.603626121281
point,2025-06-16,46688.705375580685,12995.204941257765,59683.910316838446,3301.1027836340904
point,2025-06-17,46317.05692615387,19802.14355636089,66119.20048251476,4936.0535563744315
point,2025-06-18,47369.846390674975,6965.182649417036,54335.02904009201,1796.5976095348756
point,2025-06-19,46851.11349195412,8626.44594105551,55477.559433009636,2091.2097975782945
point,2025-06-20,18642.51997981227,4574.603812398072,23217.123792210343,1354.7444289988582
point,2025-06-21,18830.04797594935,3695.377211578005,22525.425187527355,1022.5479001551087
point,2025-06-22,44740.60986554514,10608.431138543052,55349.0410040882,2835.091605146088
point,2025-06-23,44599.37540873987,8751.509671550779,53350.88508029065,2069.842116151992
point,2025-06-24,44306.29118667059,37941.458920673744,82247.75010734433,9520.79367661835
point,2025-06-25,45100.018283258694,12974.988601740159,58075.00688499885,3527.092180528088
point,2025-06-26,45682.314418439484,8195.56884073298,53877.883259172464,2007.8280010067679
point,2025-06-27,17889.46972369567,3824.517067069469,21713.98679076514,997.7509658231306
point,2025-06-28,17894.742839251052,6374.271670180629,24269.014509431683,1624.4380501563603
point,2025-06-29,44712.54851983255,11747.799032068162,56460.34755190071,3553.476202573377
point,2025-06-30,45131.370024033255,12900.956461368207,58032.32648540146,3548.973106026398
point,2025-07-01,45502.4987730345,34751.381814083885,80253.88058711839,9755.188423100108
point,2025-07-02,43864.11725336316,32557.98483467645,76422.10208803961,9065.137249373764
point,2025-07-03,42569.14300543751,55112.34773204624,97681.49073748375,14646.202963131493
point,2025-07-04,17388.81596903544,43778.21362857545,61167.02959761089,11565.215716994242
point,2025-07-05,17320.154521851047,42588.523269349425,59908.677791200476,11194.79665887107
point,2025-07-06,40642.159699137774,69846.78589002973,110488.9455891675,17681.858216995148
point,2025-07-07,40680.3792511178,42421.621355397256,83102.00060651507,11812.078241943946
point,2025-07-08,48325.98050634365,20573.591981445235,68899.57248778889,4930.280477039573
point,2025-07-09,48141.432204165794,15104.525560073153,63245.95776423895,4009.5732658496636
point,2025-07-10,48539.04899451793,10783.359533504805,59322.40852802273,2874.8164966736595
point,2025-07-11,23524.465459370702,14853.602710760038,38378.06817013074,4425.193296887918
point,2025-07-12,23443.55134472644,11241.179201803834,34684.73054653027,2919.858477260173
point,2025-07-13,48522.0048342902,7313.734129968575,55835.73896425877,1819.4259970610142
point,2025-07-14,47509.96638728863,11639.32156158793,59149.28794887656,2674.830556524841
point,2025-07-15,47902.67765543101,14346.490796941594,62249.16845237261,4366.414314207889
point,2025-07-16,47348.81411036872,12771.564110588088,60120.37822095681,3572.6149984267113
